grantee,Year,Funder Name,Location,Funder NameLocation,Amount,Purpose
Brooks Rehabilation Hospital,2020,American Endowment Foundation,"Hudson, OH","American Endowment Foundation   Hudson, OH","$5,000",Programs
Brooks Rehabilation Hospital,2020,Aetna Foundation Inc,"Hartford, CT","Aetna Foundation Inc   Hartford, CT",$256,General purpose
Brooks Rehabilation Hospital,2019,American Endowment Foundation,"Hudson, OH","American Endowment Foundation   Hudson, OH","$5,000",Programs
Brooks Rehabilation Hospital,2019,Stellar Foundation Inc.,"Jacksonville, FL","Stellar Foundation Inc.   Jacksonville, FL","$3,500",General support
Brooks Rehabilation Hospital,2018,Funk,"Zitiello Foundation Ponte Vedra Beach, FL","Funk   Zitiello Foundation   Ponte Vedra Beach, FL","$10,000",
Brooks Rehabilation Hospital,2018,Community Futures Foundation,"Richmond, VA","Community Futures Foundation   Richmond, VA","$5,100",Research
Brooks Rehabilation Hospital,2018,American Endowment Foundation,"Hudson, OH","American Endowment Foundation   Hudson, OH","$5,000",Programs
Brooks Rehabilation Hospital,2018,Stellar Foundation Inc.,"Jacksonville, FL","Stellar Foundation Inc.   Jacksonville, FL","$1,500",General support
Brooks Rehabilation Hospital,2017,American Endowment Foundation,"Hudson, OH","American Endowment Foundation   Hudson, OH","$30,000",Programs
Brooks Rehabilation Hospital,2017,Florida Hospital Association Research And Education Foundation,"Tallahassee, FL","Florida Hospital Association Research And Education Foundation   Tallahassee, FL","$23,600",2017 hurricane irma relief
Brooks Rehabilation Hospital,2015,National Alliance For Accessible Golf Inc.,"Palm Bch Gdns, FL","National Alliance For Accessible Golf Inc.   Palm Bch Gdns, FL","$16,970",General support
Brooks Rehabilation Hospital,2014,Genesis Health Foundation Inc.,"Jacksonville, FL","Genesis Health Foundation Inc.   Jacksonville, FL","$96,487",Operational support
Brooks Rehabilation Hospital,2014,Darrell Gwynn Foundation Inc,"Miami, FL","Darrell Gwynn Foundation Inc   Miami, FL","$5,000",Patient assistance
Brooks Rehabilation Hospital,2013,Genesis Health Foundation Inc.,"Jacksonville, FL","Genesis Health Foundation Inc.   Jacksonville, FL","$53,278",Operational support
Brooks Rehabilation Hospital,2013,Darrell Gwynn Foundation Inc,"Miami, FL","Darrell Gwynn Foundation Inc   Miami, FL","$10,000",Patient assistance
