grantee,Year,Funder Name,Location,Funder NameLocation,Amount,Purpose
Perkins School for the Blind,2014,Helen W Handanian Charitable Trust 74002 005 Third National Bank Tax,"Dallas, TX","Helen W Handanian Charitable Trust 74002 005 Third National Bank Tax   Dallas, TX","$10,721",Unrestricted general
Perkins School for the Blind,2014,Harvard Pilgrim Health Care Foundation Inc,"Canton, MA","Harvard Pilgrim Health Care Foundation Inc   Canton, MA","$10,500",Support those with blindness and deafness
Perkins School for the Blind,2014,Morgan Stanley Global Impact Funding Trust Inc.,"Indianapolis, IN","Morgan Stanley Global Impact Funding Trust Inc.   Indianapolis, IN","$10,500",General support
Perkins School for the Blind,2014,Tom And Elena Matlack Foundation,"Boston, MA","Tom And Elena Matlack Foundation   Boston, MA","$10,000",2014 perkins possibilities gala
Perkins School for the Blind,2014,William Froelich Foundation,"New York, NY","William Froelich Foundation   New York, NY","$10,000",Support of charitable purposes
Perkins School for the Blind,2014,The Michael And Vincenza Vinciullo Charitable Foundation,"Concord, MA","The Michael And Vincenza Vinciullo Charitable Foundation   Concord, MA","$10,000",General use
Perkins School for the Blind,2014,The Werner Family Foundation,"Los Angeles, CA","The Werner Family Foundation   Los Angeles, CA","$10,000",Contribution
Perkins School for the Blind,2014,The Michael And Vincenza Vinciullo Charitable Foundation,"Concord, MA","The Michael And Vincenza Vinciullo Charitable Foundation   Concord, MA","$10,000",General use
Perkins School for the Blind,2014,Boston Bruins Charitable Foundation Inc.,"Boston, MA","Boston Bruins Charitable Foundation Inc.   Boston, MA","$10,000",Community support
Perkins School for the Blind,2014,Tom And Elena Matlack Foundation,"Boston, MA","Tom And Elena Matlack Foundation   Boston, MA","$10,000",2014 perkins possibilities gala
Perkins School for the Blind,2014,Hamilton Company Charitable Foundation,"Allston, MA","Hamilton Company Charitable Foundation   Allston, MA","$10,000",General
Perkins School for the Blind,2014,Jewish Community Foundation Of Greater Metrowest Nj,"Whippany, NJ","Jewish Community Foundation Of Greater Metrowest Nj   Whippany, NJ","$7,500",General charitable purposes
Perkins School for the Blind,2014,Michael T Sherman Foundation,"Boston, MA","Michael T Sherman Foundation   Boston, MA","$5,000",General purpose
Perkins School for the Blind,2014,The Marshall Home Fund Inc.,"Watertown, MA","The Marshall Home Fund Inc.   Watertown, MA","$5,000",Vision lossthriving withprogram
Perkins School for the Blind,2014,Marion L Decrow Foundation,"Boston, MA","Marion L Decrow Foundation   Boston, MA","$5,000",General
Perkins School for the Blind,2014,Walter Henry Freygang Foundation,"Akron, OH","Walter Henry Freygang Foundation   Akron, OH","$4,580",Assistance to blind students
Perkins School for the Blind,2014,Jso Foundation Inc,"New York, NY","Jso Foundation Inc   New York, NY","$4,000",Assist public charities
Perkins School for the Blind,2014,The Bigbird Fund,"Boston, MA","The Bigbird Fund   Boston, MA","$3,000",General support
Perkins School for the Blind,2014,Cail Family Foundation,"Norwood, MA","Cail Family Foundation   Norwood, MA","$3,000",Support for the programs
Perkins School for the Blind,2014,Leo H Bendit Charitable Foundation,"Chestnut Hill, MA","Leo H Bendit Charitable Foundation   Chestnut Hill, MA","$3,000",Charitable
Perkins School for the Blind,2014,Oedel Foundation,"N Andover, MA","Oedel Foundation   N Andover, MA","$2,500",Educational
Perkins School for the Blind,2014,Tom And Elena Matlack Foundation,"Boston, MA","Tom And Elena Matlack Foundation   Boston, MA","$2,500",Technology challenge at 2014 perkins possibilities gala
Perkins School for the Blind,2014,Alice E Cronin Charitable Tr,"Boston, MA","Alice E Cronin Charitable Tr   Boston, MA","$2,000",Education
Perkins School for the Blind,2014,Grover Gronin Memorial Foundation,"Newtonville, MA","Grover Gronin Memorial Foundation   Newtonville, MA","$2,000",Scholarship
Perkins School for the Blind,2014,The Mel & Ruth Wolzinger Foundation,"Las Vegas, NV","The Mel & Ruth Wolzinger Foundation   Las Vegas, NV","$1,800",General support
Perkins School for the Blind,2014,The Sooner Foundation,"Stamford, CT","The Sooner Foundation   Stamford, CT","$1,000",Education and support of the blind and visually impaired
Perkins School for the Blind,2014,Kingsberg Foundation,"Princeton, NJ","Kingsberg Foundation   Princeton, NJ","$1,000",To support charitable purpose
Perkins School for the Blind,2014,Howard Musoff Charitable Foundation Inc,"Boca Raton, FL","Howard Musoff Charitable Foundation Inc   Boca Raton, FL","$1,000",To further its purpose
Perkins School for the Blind,2014,King Spruce Company,"Boston, MA","King Spruce Company   Boston, MA","$1,000",Unrestricted gift
Perkins School for the Blind,2014,Joan And Leonard Engle Family Foundation,"Providence, RI","Joan And Leonard Engle Family Foundation   Providence, RI","$1,000",Charitable
Perkins School for the Blind,2014,Zartarian Foundation,"E Greenwich, RI","Zartarian Foundation   E Greenwich, RI","$1,000",Unrestricted gift
Perkins School for the Blind,2014,Bryce Family Foundation,"Skaneateles, NY","Bryce Family Foundation   Skaneateles, NY","$1,000",Charitable
Perkins School for the Blind,2014,Van Otterloo Family Foundation,"Marblehead, MA","Van Otterloo Family Foundation   Marblehead, MA",$900,Educational
Perkins School for the Blind,2014,Hunter Family Charitable Trust,"Framingham, MA","Hunter Family Charitable Trust   Framingham, MA",$600,Educational/cultural
Perkins School for the Blind,2014,Mukhopadhyay Foundation Inc.,"Brooklyn, NY","Mukhopadhyay Foundation Inc.   Brooklyn, NY",$500,To help organization
Perkins School for the Blind,2014,Paul W Dimaura Charitable Tr Ua 122292,"Boston, MA","Paul W Dimaura Charitable Tr Ua 122292   Boston, MA",$250,Support
Perkins School for the Blind,2014,Nichols Trust,"Hollis, NH","Nichols Trust   Hollis, NH",$250,Annual fund/general
Perkins School for the Blind,2014,Berkman Family Foundation,"Boston, MA","Berkman Family Foundation   Boston, MA",$200,Research
Perkins School for the Blind,2014,Bank Of America Charitable Foundation Inc.,"Charlotte, NC","Bank Of America Charitable Foundation Inc.   Charlotte, NC",$100,Program/operating support
Perkins School for the Blind,2014,Meier Family Foundation Ltd,"Chatham, MA","Meier Family Foundation Ltd   Chatham, MA",$100,Charitable
Perkins School for the Blind,2014,Maxwell V Blum Family Foundation,"Boston, MA","Maxwell V Blum Family Foundation   Boston, MA",$100,Contribute to charitable function
Perkins School for the Blind,2014,Ruth & Louis Baker Family Foundation,"Peterborough, NH","Ruth & Louis Baker Family Foundation   Peterborough, NH",$100,Unrestricted use
Perkins School for the Blind,2014,Mattimore Family Charitable Foundat,"Worcester, MA","Mattimore Family Charitable Foundat   Worcester, MA",$50,Donation to the charity
Perkins School for the Blind,2014,Melvyn P And Eleanor N Galin Family Foundation Inc.,"Savannah, GA","Melvyn P And Eleanor N Galin Family Foundation Inc.   Savannah, GA",$25,Furtherance of donee's purpose
Perkins School for the Blind,2014,Justin & Genevieve Wyner Trust,"Dedham, MA","Justin & Genevieve Wyner Trust   Dedham, MA",$25,Educational
Perkins School for the Blind,2013,Grousbeck Fam Foundation Ii 05182011,"Redwood City, CA","Grousbeck Fam Foundation Ii 05182011   Redwood City, CA","$2,000,000",General
Perkins School for the Blind,2013,Family Service Of Rhode Island Inc.,"Providence, RI","Family Service Of Rhode Island Inc.   Providence, RI","$228,537",To provide individual and family services
Perkins School for the Blind,2013,Jewish Communal Fund,"New York, NY","Jewish Communal Fund   New York, NY","$150,200",Unrestricted
Perkins School for the Blind,2013,Gates Foundation,"Seattle, WA","Gates Foundation   Seattle, WA","$128,743",College ready education
Perkins School for the Blind,2013,Amelia Peabody Charitable Fund Trs,"Boston, MA","Amelia Peabody Charitable Fund Trs   Boston, MA","$100,000",Equipment
Perkins School for the Blind,2013,Giving Grousbeck Fazzalari,"Seattle, WA","Giving Grousbeck Fazzalari   Seattle, WA","$100,000",General
Perkins School for the Blind,2013,Olin J Cochran Tr Uw 361042013,"Manchester, NH","Olin J Cochran Tr Uw 361042013   Manchester, NH","$91,999",Daily operations
Perkins School for the Blind,2013,Bilezikian Family Foundation Inc.,"Yarmouth Port, MA","Bilezikian Family Foundation Inc.   Yarmouth Port, MA","$70,000",Support educational programs for individuals with visual impairments
Perkins School for the Blind,2013,Karisma Foundation,"Los Angeles, CA","Karisma Foundation   Los Angeles, CA","$50,000",To support established charity
Perkins School for the Blind,2013,Peabody Foundation Inc.,"Plymouth, MA","Peabody Foundation Inc.   Plymouth, MA","$40,000",To benefit handicapped children &/related research.
Perkins School for the Blind,2013,Peabody Foundation Inc.,"Plymouth, MA","Peabody Foundation Inc.   Plymouth, MA","$40,000",To benefit handicapped children &/related research.
Perkins School for the Blind,2013,John J And Susan F Doran Family Foundation,"Wellesley, MA","John J And Susan F Doran Family Foundation   Wellesley, MA","$25,000",General contribution
Perkins School for the Blind,2013,Tufts Associated Health Maintenance Organization Inc,"Canton, MA","Tufts Associated Health Maintenance Organization Inc   Canton, MA","$25,000",Annual perkins possibility gala
Perkins School for the Blind,2013,Theodore Cross Family Charitable Foundation,"Commack, NY","Theodore Cross Family Charitable Foundation   Commack, NY","$25,000",General purpose
Perkins School for the Blind,2013,Point32health Foundation Inc.,"Canton, MA","Point32health Foundation Inc.   Canton, MA","$20,000",Thriving with vision loss
Perkins School for the Blind,2013,Point32health Foundation Inc.,"Canton, MA","Point32health Foundation Inc.   Canton, MA","$20,000",Thriving with vision loss
Perkins School for the Blind,2013,Network For Good Inc.,"Washington, DC","Network For Good Inc.   Washington, DC","$18,500",Unrestricted
Perkins School for the Blind,2013,Combined Jewish Philanthropies Of Greater Boston Inc.,"Boston, MA","Combined Jewish Philanthropies Of Greater Boston Inc.   Boston, MA","$16,800",Donor adv fund disabilities svcs
Perkins School for the Blind,2013,Dana Home Of Lexington Inc.,"Lexington, MA","Dana Home Of Lexington Inc.   Lexington, MA","$15,000",General purposes
Perkins School for the Blind,2013,Morgan Stanley Global Impact Funding Trust Inc.,"Indianapolis, IN","Morgan Stanley Global Impact Funding Trust Inc.   Indianapolis, IN","$10,000",General support
Perkins School for the Blind,2013,Hamilton Company Charitable Foundation,"Allston, MA","Hamilton Company Charitable Foundation   Allston, MA","$10,000",General
Perkins School for the Blind,2013,Mattina R Proctor Foundation,"Boston, MA","Mattina R Proctor Foundation   Boston, MA","$10,000",Annual fund and internet radio station
Perkins School for the Blind,2013,King Spruce Company,"Boston, MA","King Spruce Company   Boston, MA","$10,000",Unrestricted gift
Perkins School for the Blind,2013,The Michael And Vincenza Vinciullo Charitable Foundation,"Concord, MA","The Michael And Vincenza Vinciullo Charitable Foundation   Concord, MA","$10,000",General use
Perkins School for the Blind,2013,Van Sloun Foundation,"Marion, MA","Van Sloun Foundation   Marion, MA","$9,000",Unrestricted
Perkins School for the Blind,2013,Tom And Elena Matlack Foundation,"Boston, MA","Tom And Elena Matlack Foundation   Boston, MA","$8,750",Education
Perkins School for the Blind,2013,Community Foundation Of Sarasota County Inc.,"Sarasota, FL","Community Foundation Of Sarasota County Inc.   Sarasota, FL","$8,000",General support
Perkins School for the Blind,2013,Jso Foundation Inc,"New York, NY","Jso Foundation Inc   New York, NY","$8,000",Assist public charities
Perkins School for the Blind,2013,Robert Brigham Trust,"Boston, MA","Robert Brigham Trust   Boston, MA","$7,354",General purpose
Perkins School for the Blind,2013,Boston Bruins Charitable Foundation Inc.,"Boston, MA","Boston Bruins Charitable Foundation Inc.   Boston, MA","$5,237",Community support
Perkins School for the Blind,2013,Boston Bruins Charitable Foundation Inc.,"Boston, MA","Boston Bruins Charitable Foundation Inc.   Boston, MA","$5,000",Community support
Perkins School for the Blind,2013,Walter Henry Freygang Foundation,"Akron, OH","Walter Henry Freygang Foundation   Akron, OH","$4,480",Assistance to blind students
Perkins School for the Blind,2013,Michael T Sherman Foundation,"Boston, MA","Michael T Sherman Foundation   Boston, MA","$4,000",General purpose
Perkins School for the Blind,2013,The Marshall Home Fund Inc.,"Watertown, MA","The Marshall Home Fund Inc.   Watertown, MA","$4,000",Vision lossthriving withprogram
Perkins School for the Blind,2013,Leo H Bendit Charitable Foundation,"Chestnut Hill, MA","Leo H Bendit Charitable Foundation   Chestnut Hill, MA","$3,000",Charitable
Perkins School for the Blind,2013,Oedel Foundation,"N Andover, MA","Oedel Foundation   N Andover, MA","$2,500",Educational
Perkins School for the Blind,2013,The George And Alice Rich Charitable Foundation,"Boston, MA","The George And Alice Rich Charitable Foundation   Boston, MA","$1,500",Donation to support charity's mission
Perkins School for the Blind,2013,Howard & Robin Reisman Charitable Trust,"Braintree, MA","Howard & Robin Reisman Charitable Trust   Braintree, MA","$1,500",To assist an organization that help people with disabilities
Perkins School for the Blind,2013,Joan And Leonard Engle Family Foundation,"Providence, RI","Joan And Leonard Engle Family Foundation   Providence, RI","$1,000",Charitable
Perkins School for the Blind,2013,Zartarian Foundation,"E Greenwich, RI","Zartarian Foundation   E Greenwich, RI","$1,000",Unrestricted gift
Perkins School for the Blind,2013,Bryce Family Foundation,"Skaneateles, NY","Bryce Family Foundation   Skaneateles, NY","$1,000",Charitable
Perkins School for the Blind,2013,Cail Family Foundation,"Norwood, MA","Cail Family Foundation   Norwood, MA","$1,000",Provide support to individuals with vsiual impairmen
Perkins School for the Blind,2013,Grover Gronin Memorial Foundation,"Newtonville, MA","Grover Gronin Memorial Foundation   Newtonville, MA","$1,000",Scholarship
Perkins School for the Blind,2013,Glad To Be Here Foundation Inc.,"Sun Valley, ID","Glad To Be Here Foundation Inc.   Sun Valley, ID",$950,Non restrictive
Perkins School for the Blind,2013,Lunder Foundation,"Portland, ME","Lunder Foundation   Portland, ME",$500,Unrestricted donation
Perkins School for the Blind,2013,The Kershaw Foundation Charitable Trust,"Boston, MA","The Kershaw Foundation Charitable Trust   Boston, MA",$500,Unrestricted
Perkins School for the Blind,2013,The Bill And Joan Alfond Foundation,"Portland, ME","The Bill And Joan Alfond Foundation   Portland, ME",$500,Unrestricted
Perkins School for the Blind,2013,Burrows Foundation,"Little Falls, NY","Burrows Foundation   Little Falls, NY",$500,2013 donation
Perkins School for the Blind,2013,Van Otterloo Family Foundation,"Marblehead, MA","Van Otterloo Family Foundation   Marblehead, MA",$500,Educational
Perkins School for the Blind,2013,Nicholas And Viola Spinelli Foundation Inc.,"Woodbury, CT","Nicholas And Viola Spinelli Foundation Inc.   Woodbury, CT",$300,Unrestricted
Perkins School for the Blind,2013,Nichols Trust,"Hollis, NH","Nichols Trust   Hollis, NH",$250,Annual fund/general
Perkins School for the Blind,2013,David Gopen Foundation,"Allston, MA","David Gopen Foundation   Allston, MA",$200,"Religious, educational & medical institutions"
Perkins School for the Blind,2013,Berkman Family Foundation,"Boston, MA","Berkman Family Foundation   Boston, MA",$200,Research
Perkins School for the Blind,2013,Scarbro Family Foundation,"Carlisle, MA","Scarbro Family Foundation   Carlisle, MA",$100,General fund
Perkins School for the Blind,2013,Robbins Charitable Foundation,"Newton, MA","Robbins Charitable Foundation   Newton, MA",$100,Public charity
Perkins School for the Blind,2013,Meier Family Foundation Ltd,"Chatham, MA","Meier Family Foundation Ltd   Chatham, MA",$100,Charitable
Perkins School for the Blind,2013,The Lancaster Foundation 7522 Xxxxxx14179,"Boston, MA","The Lancaster Foundation 7522 Xxxxxx14179   Boston, MA",$100,Summer outreach program
Perkins School for the Blind,2013,Maxwell V Blum Family Foundation,"Boston, MA","Maxwell V Blum Family Foundation   Boston, MA",$100,Contribute to charitable function
Perkins School for the Blind,2013,Bank Of America Charitable Foundation Inc.,"Charlotte, NC","Bank Of America Charitable Foundation Inc.   Charlotte, NC",$50,Program/operating support
Perkins School for the Blind,2013,Leonard A & Barbara Rosen Charitable Foundation Suite 1000,"Worcester, MA","Leonard A & Barbara Rosen Charitable Foundation Suite 1000   Worcester, MA",$50,General
Perkins School for the Blind,2013,T F Foundation,"Tulsa, OK","T F Foundation   Tulsa, OK",$25,Operations
Perkins School for the Blind,2013,Bank Of America Charitable Foundation Inc.,"Charlotte, NC","Bank Of America Charitable Foundation Inc.   Charlotte, NC",$25,Program/operating support
Perkins School for the Blind,2013,Alvan & Lois Finn,"Brookline, MA","Alvan & Lois Finn   Brookline, MA",$18,Further charitable purpose
Perkins School for the Blind,2012,Olin J Cochran Tr Uw 361042013,"Manchester, NH","Olin J Cochran Tr Uw 361042013   Manchester, NH","$85,858",Daily operations
Perkins School for the Blind,2012,Bilezikian Family Foundation Inc.,"Yarmouth Port, MA","Bilezikian Family Foundation Inc.   Yarmouth Port, MA","$70,000",Support educational programs for individuals with visual impairments
Perkins School for the Blind,2012,Karisma Foundation,"Los Angeles, CA","Karisma Foundation   Los Angeles, CA","$50,000",To support established charity
Perkins School for the Blind,2012,Boston Center For Blind Children,"Spencer, MA","Boston Center For Blind Children   Spencer, MA","$40,000",Cash grant for operations
Perkins School for the Blind,2012,Peabody Foundation Inc.,"Plymouth, MA","Peabody Foundation Inc.   Plymouth, MA","$40,000",To benefit handicapped children &/related research.
Perkins School for the Blind,2012,Jewish Communal Fund,"New York, NY","Jewish Communal Fund   New York, NY","$30,000",Unrestricted
Perkins School for the Blind,2012,Theodore Cross Family Charitable Foundation,"Commack, NY","Theodore Cross Family Charitable Foundation   Commack, NY","$25,000",General purpose
Perkins School for the Blind,2012,John J And Susan F Doran Family Foundation,"Wellesley, MA","John J And Susan F Doran Family Foundation   Wellesley, MA","$23,750",General contribution
Perkins School for the Blind,2012,Harvard Pilgrim Health Care Foundation Inc,"Canton, MA","Harvard Pilgrim Health Care Foundation Inc   Canton, MA","$21,000",Sponsorship
Perkins School for the Blind,2012,Point32health Foundation Inc.,"Canton, MA","Point32health Foundation Inc.   Canton, MA","$20,000",Thriving with vision loss
Perkins School for the Blind,2012,Point32health Foundation Inc.,"Canton, MA","Point32health Foundation Inc.   Canton, MA","$20,000",Thriving with vision loss
Perkins School for the Blind,2012,Combined Jewish Philanthropies Of Greater Boston Inc.,"Boston, MA","Combined Jewish Philanthropies Of Greater Boston Inc.   Boston, MA","$15,680",Donor advised fund services to indiv w/disabilities
Perkins School for the Blind,2012,Mark Wahlberg Youth Foundation Inc.,"White Plains, NY","Mark Wahlberg Youth Foundation Inc.   White Plains, NY","$15,000","To help children and adults who are blind, deafblind or visually impaired"
Perkins School for the Blind,2012,Jso Foundation Inc,"New York, NY","Jso Foundation Inc   New York, NY","$13,000",Assist public charities
Perkins School for the Blind,2012,Stare Fund,"Boston, MA","Stare Fund   Boston, MA","$10,200",Unrestricted
Perkins School for the Blind,2012,Boston Bruins Charitable Foundation Inc.,"Boston, MA","Boston Bruins Charitable Foundation Inc.   Boston, MA","$10,000",Support the blind
Perkins School for the Blind,2012,Tufts Associated Health Maintenance Organization Inc,"Canton, MA","Tufts Associated Health Maintenance Organization Inc   Canton, MA","$10,000",Annual perkins possibility gala
Perkins School for the Blind,2012,The Michael And Vincenza Vinciullo Charitable Foundation,"Concord, MA","The Michael And Vincenza Vinciullo Charitable Foundation   Concord, MA","$10,000",General use
Perkins School for the Blind,2012,Mattina R Proctor Foundation,"Boston, MA","Mattina R Proctor Foundation   Boston, MA","$10,000",Annual fund and internet radio station
Perkins School for the Blind,2012,Tom And Elena Matlack Foundation,"Boston, MA","Tom And Elena Matlack Foundation   Boston, MA","$8,750",Education
Perkins School for the Blind,2012,Van Sloun Foundation,"Marion, MA","Van Sloun Foundation   Marion, MA","$8,000",Unrestricted
Perkins School for the Blind,2012,Community Foundation Of Sarasota County Inc.,"Sarasota, FL","Community Foundation Of Sarasota County Inc.   Sarasota, FL","$7,500",General support/various programs support
Perkins School for the Blind,2012,Robert Brigham Trust,"Boston, MA","Robert Brigham Trust   Boston, MA","$7,000",General purpose
Perkins School for the Blind,2012,Theodore H Cutler Family Trust,"Needham, MA","Theodore H Cutler Family Trust   Needham, MA","$5,000",General charitable purposes
Perkins School for the Blind,2012,Walter Henry Freygang Foundation,"Akron, OH","Walter Henry Freygang Foundation   Akron, OH","$4,510",Assistance to blind students
Perkins School for the Blind,2012,The Marshall Home Fund Inc.,"Watertown, MA","The Marshall Home Fund Inc.   Watertown, MA","$3,000",Vision lossthriving withprogram
Perkins School for the Blind,2012,Oedel Foundation,"N Andover, MA","Oedel Foundation   N Andover, MA","$2,500",Educational
Perkins School for the Blind,2012,Michael T Sherman Foundation,"Boston, MA","Michael T Sherman Foundation   Boston, MA","$2,500",General purpose
Perkins School for the Blind,2012,Leo H Bendit Charitable Foundation,"Chestnut Hill, MA","Leo H Bendit Charitable Foundation   Chestnut Hill, MA","$2,000",Charitable
Perkins School for the Blind,2012,The Sooner Foundation,"Stamford, CT","The Sooner Foundation   Stamford, CT","$2,000",General
Perkins School for the Blind,2012,Howard & Robin Reisman Charitable Trust,"Braintree, MA","Howard & Robin Reisman Charitable Trust   Braintree, MA","$1,500",To assist an organization that help people with disabilities
Perkins School for the Blind,2012,Bank Of America Charitable Foundation Inc.,"Charlotte, NC","Bank Of America Charitable Foundation Inc.   Charlotte, NC","$1,025",Program and operating support
Perkins School for the Blind,2012,Bank Of America Charitable Foundation Inc.,"Charlotte, NC","Bank Of America Charitable Foundation Inc.   Charlotte, NC","$1,025",Program and operating support
Perkins School for the Blind,2012,Cail Family Foundation,"Norwood, MA","Cail Family Foundation   Norwood, MA","$1,000",Provide support to individuals with vsiual impairmen
Perkins School for the Blind,2012,King Spruce Company,"Boston, MA","King Spruce Company   Boston, MA","$1,000",Unrestricted gift
Perkins School for the Blind,2012,Evans Fam Foundation,"Boston, MA","Evans Fam Foundation   Boston, MA","$1,000",General support
Perkins School for the Blind,2012,Zartarian Foundation,"E Greenwich, RI","Zartarian Foundation   E Greenwich, RI","$1,000",Unrestricted gift
Perkins School for the Blind,2012,Rothstein Foundation,"Newburyport, MA","Rothstein Foundation   Newburyport, MA","$1,000",Education
Perkins School for the Blind,2012,Joan And Leonard Engle Family Foundation,"Providence, RI","Joan And Leonard Engle Family Foundation   Providence, RI","$1,000",Charitable
Perkins School for the Blind,2012,Cail Family Foundation,"Norwood, MA","Cail Family Foundation   Norwood, MA","$1,000",Provide support to individuals with vsiual impairmen
Perkins School for the Blind,2012,Bryce Family Foundation,"Skaneateles, NY","Bryce Family Foundation   Skaneateles, NY","$1,000",Charitable
Perkins School for the Blind,2012,Grover Gronin Memorial Foundation,"Newtonville, MA","Grover Gronin Memorial Foundation   Newtonville, MA",$500,Scholarship
Perkins School for the Blind,2012,Van Otterloo Family Foundation,"Marblehead, MA","Van Otterloo Family Foundation   Marblehead, MA",$500,Educational
Perkins School for the Blind,2012,Desai Foundation,"Woburn, MA","Desai Foundation   Woburn, MA",$440,General support
Perkins School for the Blind,2012,The Synopsys Foundation,"Wilmington, DE","The Synopsys Foundation   Wilmington, DE",$300,Matching donation to promote the organization's charitable activities.
Perkins School for the Blind,2012,Jpmorgan Chase Foundation,"New York, NY","Jpmorgan Chase Foundation   New York, NY",$300,Matching gift grant
Perkins School for the Blind,2012,Nichols Trust,"Hollis, NH","Nichols Trust   Hollis, NH",$250,Annual fund/general
Perkins School for the Blind,2012,Nicholas And Viola Spinelli Foundation Inc.,"Woodbury, CT","Nicholas And Viola Spinelli Foundation Inc.   Woodbury, CT",$225,Unrestricted
Perkins School for the Blind,2012,Bank Of America Charitable Foundation Inc.,"Charlotte, NC","Bank Of America Charitable Foundation Inc.   Charlotte, NC",$215,Program and operating support
Perkins School for the Blind,2012,Bank Of America Charitable Foundation Inc.,"Charlotte, NC","Bank Of America Charitable Foundation Inc.   Charlotte, NC",$215,Program and operating support
Perkins School for the Blind,2012,Robert R Rosenheim Foundation Inc.,"Bristol, CT","Robert R Rosenheim Foundation Inc.   Bristol, CT",$200,Support work of donee
Perkins School for the Blind,2012,The Lancaster Foundation 7522 Xxxxxx14179,"Boston, MA","The Lancaster Foundation 7522 Xxxxxx14179   Boston, MA",$150,Summer outreach program
Perkins School for the Blind,2012,Robbins Charitable Foundation,"Newton, MA","Robbins Charitable Foundation   Newton, MA",$150,Public charity
Perkins School for the Blind,2012,Bank Of America Charitable Foundation Inc.,"Charlotte, NC","Bank Of America Charitable Foundation Inc.   Charlotte, NC",$100,Program and operating support
Perkins School for the Blind,2012,Russells Garden Center Charitable Foundation Inc.,"Wayland, MA","Russells Garden Center Charitable Foundation Inc.   Wayland, MA",$100,Donation
Perkins School for the Blind,2012,Bank Of America Charitable Foundation Inc.,"Charlotte, NC","Bank Of America Charitable Foundation Inc.   Charlotte, NC",$100,Program and operating support
Perkins School for the Blind,2012,Meier Family Foundation Ltd,"Chatham, MA","Meier Family Foundation Ltd   Chatham, MA",$100,Charitable
Perkins School for the Blind,2012,Bank Of America Charitable Foundation Inc.,"Charlotte, NC","Bank Of America Charitable Foundation Inc.   Charlotte, NC",$50,Program and operating support
Perkins School for the Blind,2012,Bank Of America Charitable Foundation Inc.,"Charlotte, NC","Bank Of America Charitable Foundation Inc.   Charlotte, NC",$50,Program and operating support
Perkins School for the Blind,2012,Bank Of America Charitable Foundation Inc.,"Charlotte, NC","Bank Of America Charitable Foundation Inc.   Charlotte, NC",$25,Program and operating support
Perkins School for the Blind,2012,Bank Of America Charitable Foundation Inc.,"Charlotte, NC","Bank Of America Charitable Foundation Inc.   Charlotte, NC",$25,Program and operating support
Perkins School for the Blind,2011,Lions Clubs International Ftdn,"Oak Brook, IL","Lions Clubs International Ftdn   Oak Brook, IL","$426,064",Sightfirst ii
Perkins School for the Blind,2011,Van Otterloo Family Foundation,"Marblehead, MA","Van Otterloo Family Foundation   Marblehead, MA","$100,600",Educational
Perkins School for the Blind,2011,Boston Foundation Inc.,"Boston, MA","Boston Foundation Inc.   Boston, MA","$92,663",Operating support
Perkins School for the Blind,2011,Bilezikian Family Foundation Inc.,"Yarmouth Port, MA","Bilezikian Family Foundation Inc.   Yarmouth Port, MA","$71,183",Support educational programs for individuals with visual impairments
Perkins School for the Blind,2011,Bilezikian Family Foundation Inc.,"Yarmouth Port, MA","Bilezikian Family Foundation Inc.   Yarmouth Port, MA","$70,000",Support educational programs for individuals with visual impairments
Perkins School for the Blind,2011,Karisma Foundation,"Los Angeles, CA","Karisma Foundation   Los Angeles, CA","$50,000",To support established charity
Perkins School for the Blind,2011,Boston Center For Blind Children,"Spencer, MA","Boston Center For Blind Children   Spencer, MA","$40,000",Cash grant for operations
Perkins School for the Blind,2011,John J And Susan F Doran Family Foundation,"Wellesley, MA","John J And Susan F Doran Family Foundation   Wellesley, MA","$24,800",General contribution
Perkins School for the Blind,2011,Memorial Foundation For The Blind Inc.,"Worcester, MA","Memorial Foundation For The Blind Inc.   Worcester, MA","$15,000",General support
Perkins School for the Blind,2011,Gordon & Llura Gund Foundation,"Princeton, NJ","Gordon & Llura Gund Foundation   Princeton, NJ","$15,000",To help further charitable purposes of organization.
Perkins School for the Blind,2011,Gordon & Llura Gund Foundation,"Princeton, NJ","Gordon & Llura Gund Foundation   Princeton, NJ","$15,000",To help further charitable purposes of organization.
Perkins School for the Blind,2011,Combined Jewish Philanthropies Of Greater Boston Inc.,"Boston, MA","Combined Jewish Philanthropies Of Greater Boston Inc.   Boston, MA","$11,400",Donor advised funds services to indiv w/disabilities
Perkins School for the Blind,2011,Stare Fund,"Boston, MA","Stare Fund   Boston, MA","$10,135",Unrestricted
Perkins School for the Blind,2011,Shirley Shattuck Windsor Charitable Tr Ua 121697 15012344,"Boston, MA","Shirley Shattuck Windsor Charitable Tr Ua 121697 15012344   Boston, MA","$10,000",Public school physical education inclusion and wellness program
Perkins School for the Blind,2011,Theodore Cross Family Charitable Foundation,"Commack, NY","Theodore Cross Family Charitable Foundation   Commack, NY","$10,000",General purpose
Perkins School for the Blind,2011,Mattina R Proctor Foundation,"Boston, MA","Mattina R Proctor Foundation   Boston, MA","$10,000",Annual fund and physical fitness program
Perkins School for the Blind,2011,National Science Teaching Association,"Richmond, VA","National Science Teaching Association   Richmond, VA","$10,000",Tapestry award
Perkins School for the Blind,2011,Tufts Associated Health Maintenance Organization Inc,"Canton, MA","Tufts Associated Health Maintenance Organization Inc   Canton, MA","$10,000",The perkins possibility gala
